MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: JAN/2016, FEV/2016, MAR/2016, ABR/2016, MAI/2016, JUN/2016, JUL/2016, AGO/2016, SET/2016, OUT/2016, NOV/2016, DEZ/2016."
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Hipertensão arterial, Diabetes, Obesidade, Tabagismo."


Uf;Ibge;Municipio;Hipertensão arterial;Diabetes;Obesidade;Tabagismo;
SC;420670;HERVAL D'OESTE;3.079;1.052;157;72;
SC;420950;LAURENTINO;1.104;575;540;42;
SC;420915;JOSÉ BOITEUX;639;180;13;8;
SC;420555;FREI ROGÉRIO;374;181;154;25;
SC;421125;MORRO GRANDE;54;47;78;15;
SC;421635;SÃO JOÃO DO ITAPERIÚ;1.113;415;39;54;
SC;420150;ARMAZÉM;148;183;6;19;
SC;421050;MARAVILHA;4.095;961;891;210;
SC;420960;LAURO MULLER;2.001;957;242;169;
SC;421227;PASSOS MAIA;206;44;34;38;
SC;420285;BRAÇO DO TROMBUDO;2.878;490;450;137;
SC;420775;IRACEMINHA;253;44;7;3;
SC;421070;MATOS COSTA;422;183;9;36;
SC;421825;TIMBÓ GRANDE;949;235;51;8;
SC;421650;SÃO JOAQUIM;2.610;806;410;108;
SC;420710;ILHOTA;1.381;546;489;123;
SC;421575;SÃO BERNARDINO;1.129;256;492;105;
SC;421690;SÃO LOURENÇO DO OESTE;4.928;1.365;400;196;
SC;421880;TURVO;130;37;18;3;
SC;421560;SANTA ROSA DE LIMA;133;51;166;15;
SC;420215;BELMONTE;513;156;1;19;
SC;420515;DOUTOR PEDRINHO;380;154;97;44;
SC;420820;ITAJAÍ;23.698;10.029;5.085;1.543;
SC;420590;GASPAR;4.067;1.355;647;570;
SC;420370;CANELINHA;1.077;300;28;7;
SC;420455;CORREIA PINTO;2.808;1.006;1.085;207;
SC;421740;SCHROEDER;2.475;954;163;53;
SC;421550;SANTA CECÍLIA;1.097;440;30;2;
SC;421470;RIO DOS CEDROS;2.057;1.118;220;202;
SC;421140;NOVA ERECHIM;1;0;0;0;
SC;421555;SANTA HELENA;1.070;343;601;59;
SC;420630;GUABIRUBA;8.896;2.688;2.446;769;
SC;421885;UNIÃO DO OESTE;315;65;166;20;
SC;420620;GRAVATAL;429;179;2;1;
SC;420195;BALNEÁRIO ARROIO DO SILVA;834;362;151;73;
SC;420020;AGROLÂNDIA;2.040;636;158;82;
