MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: JAN/2018, FEV/2018, MAR/2018, ABR/2018, MAI/2018, JUN/2018, JUL/2018, AGO/2018, SET/2018, OUT/2018, NOV/2018, DEZ/2018."
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Hipertensão arterial, Diabetes, Obesidade, Tabagismo."


Uf;Ibge;Municipio;Hipertensão arterial;Diabetes;Obesidade;Tabagismo;
SC;420940;LAGUNA;1.899;1.143;897;86;
SC;420500;DIONÍSIO CERQUEIRA;658;356;443;389;
SC;420020;AGROLÂNDIA;1.977;379;95;37;
SC;421568;SANTA TEREZINHA DO PROGRESSO;485;312;93;94;
SC;420510;DONA EMMA;69;28;10;6;
SC;420810;ITAIÓPOLIS;3.999;1.215;701;76;
SC;421480;RIO DO SUL;1.248;930;100;179;
SC;420315;CALMON;463;74;88;18;
SC;420300;CAÇADOR;9.539;3.219;997;400;
SC;420517;ENTRE RIOS;110;107;19;9;
SC;420895;JARDINÓPOLIS;124;96;15;17;
SC;421875;TUNÁPOLIS;1.507;493;216;21;
SC;421670;SÃO JOSÉ DO CEDRO;1.477;228;314;33;
SC;421535;SALTINHO;689;305;518;131;
SC;421620;SÃO FRANCISCO DO SUL;3.917;1.246;75;48;
SC;421410;PRESIDENTE NEREU;806;288;22;33;
SC;420660;GUARUJÁ DO SUL;476;70;5;2;
SC;420260;BOM RETIRO;1.936;745;79;58;
SC;421860;TROMBUDO CENTRAL;1.405;493;206;59;
SC;421605;SÃO CRISTOVÃO DO SUL;1.401;518;121;2;
SC;420870;JACINTO MACHADO;370;302;138;54;
SC;421940;WITMARSUM;500;302;227;26;
SC;421660;SÃO JOSÉ;17.833;10.197;2.467;1.619;
SC;420550;FRAIBURGO;7.566;4.286;2.998;1.103;
SC;421770;SOMBRIO;4.439;1.623;500;193;
SC;421380;PRAIA GRANDE;1.291;279;50;27;
SC;421280;BALNEÁRIO PIÇARRAS;3.903;1.337;334;145;
