MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: JAN/2017, FEV/2017, MAR/2017, ABR/2017, MAI/2017, JUN/2017, JUL/2017, AGO/2017, SET/2017, OUT/2017, NOV/2017, DEZ/2017."
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Hipertensão arterial, Diabetes, Obesidade, Tabagismo."


Uf;Ibge;Municipio;Hipertensão arterial;Diabetes;Obesidade;Tabagismo;
SC;421260;PERITIBA;24;11;3;16;
SC;421720;SÃO MIGUEL DO OESTE;3.805;1.287;857;267;
SC;420800;ITÁ;2.490;470;312;265;
SC;420270;BOTUVERÁ;710;342;107;15;
SC;421590;SÃO BONIFÁCIO;183;46;8;9;
SC;421820;TIMBÓ;7.620;3.016;510;481;
SC;420945;LAJEADO GRANDE;624;133;120;23;
SC;420543;FORMOSA DO SUL;3.518;547;11;2;
SC;420127;ARABUTÃ;513;151;181;59;
SC;420675;IBIAM;3;0;1;0;
SC;420210;BARRA VELHA;2.521;1.225;288;153;
SC;421950;XANXERÊ;7.563;2.567;1.367;551;
SC;421090;MODELO;1.448;803;120;6;
SC;421917;VARGEM BONITA;1.042;269;249;151;
SC;420125;APIÚNA;1.170;442;594;73;
SC;421505;RIO RUFINO;51;7;1;1;
SC;421600;SÃO CARLOS;1.026;203;11;17;
SC;421540;SALTO VELOSO;307;153;26;5;
SC;420100;ANITA GARIBALDI;618;205;33;37;
SC;421185;OURO VERDE;935;273;137;100;
SC;421420;QUILOMBO;792;373;309;119;
SC;420580;GARUVA;996;669;230;77;
SC;421220;PAPANDUVA;2.554;839;212;168;
SC;420005;ABDON BATISTA;227;51;0;2;
SC;420740;IMBUIA;945;151;55;146;
SC;420310;CAIBI;2.045;470;244;67;
SC;420350;CAMPO ERÊ;3.105;792;767;250;
SC;420519;ERMO;508;159;195;54;
SC;421520;ROMELÂNDIA;533;129;36;17;
SC;421000;LUIZ ALVES;1.398;354;396;99;
SC;420340;CAMPO BELO DO SUL;564;212;44;28;
SC;420419;CHAPADÃO DO LAGEADO;138;18;31;110;
SC;421300;PINHEIRO PRETO;1.164;401;442;99;
SC;420765;IPORÃ DO OESTE;2.305;460;434;11;
SC;421835;TREVISO;1.747;546;912;153;
SC;421180;OURO;42;7;3;0;
SC;420950;LAURENTINO;646;330;276;14;
SC;420670;HERVAL D'OESTE;2.657;1.139;144;66;
SC;420555;FREI ROGÉRIO;447;143;59;81;
SC;421125;MORRO GRANDE;201;109;12;24;
SC;420915;JOSÉ BOITEUX;66;58;102;8;
SC;421050;MARAVILHA;4.803;1.195;519;222;
SC;420960;LAURO MULLER;3.329;1.806;351;129;
SC;421635;SÃO JOÃO DO ITAPERIÚ;877;384;21;54;
SC;421227;PASSOS MAIA;1.105;258;194;107;
SC;420150;ARMAZÉM;78;46;7;6;
SC;420285;BRAÇO DO TROMBUDO;587;152;318;84;
SC;420775;IRACEMINHA;239;153;23;23;
SC;421070;MATOS COSTA;421;159;31;30;
SC;421825;TIMBÓ GRANDE;548;220;112;26;
SC;420710;ILHOTA;922;382;230;93;
SC;421650;SÃO JOAQUIM;2.201;776;207;39;
SC;420515;DOUTOR PEDRINHO;781;196;315;215;
SC;420215;BELMONTE;582;275;23;59;
SC;421690;SÃO LOURENÇO DO OESTE;4.657;1.275;335;237;
SC;421880;TURVO;780;341;104;143;
SC;421575;SÃO BERNARDINO;542;219;253;0;
SC;421560;SANTA ROSA DE LIMA;60;42;152;6;
SC;420820;ITAJAÍ;24.926;11.745;5.801;1.955;
SC;421470;RIO DOS CEDROS;4.355;1.520;1.253;458;
SC;420455;CORREIA PINTO;2.553;1.025;500;194;
SC;421550;SANTA CECÍLIA;975;347;31;23;
SC;420370;CANELINHA;1.002;381;74;88;
SC;421740;SCHROEDER;1.739;711;624;166;
SC;420590;GASPAR;2.794;1.105;556;356;
SC;421140;NOVA ERECHIM;644;290;159;53;
SC;420630;GUABIRUBA;6.511;2.021;1.244;253;
SC;421555;SANTA HELENA;1.081;315;205;35;
SC;420195;BALNEÁRIO ARROIO DO SILVA;1.311;633;265;145;
SC;420620;GRAVATAL;207;192;5;4;
SC;421885;UNIÃO DO OESTE;71;45;150;15;
SC;420020;AGROLÂNDIA;3.255;902;336;185;
SC;420940;LAGUNA;2.087;1.090;234;87;
SC;420500;DIONÍSIO CERQUEIRA;723;258;283;194;
SC;421568;SANTA TEREZINHA DO PROGRESSO;669;257;146;108;
SC;420510;DONA EMMA;515;176;145;67;
SC;420810;ITAIÓPOLIS;3.007;1.179;733;106;
SC;421480;RIO DO SUL;3.984;1.676;890;276;
SC;420300;CAÇADOR;9.178;2.988;1.190;534;
SC;420315;CALMON;433;38;100;21;
SC;420517;ENTRE RIOS;464;215;56;27;
SC;421620;SÃO FRANCISCO DO SUL;3.783;1.605;78;49;
SC;421670;SÃO JOSÉ DO CEDRO;1.811;495;467;53;
SC;421535;SALTINHO;353;129;211;91;
SC;421875;TUNÁPOLIS;1.153;410;356;41;
SC;420895;JARDINÓPOLIS;72;63;53;3;
SC;420260;BOM RETIRO;1.434;574;38;51;
SC;421860;TROMBUDO CENTRAL;1.814;691;757;137;
SC;420660;GUARUJÁ DO SUL;1.242;122;268;4;
SC;421940;WITMARSUM;435;211;82;37;
SC;421410;PRESIDENTE NEREU;149;63;3;19;
SC;420870;JACINTO MACHADO;335;292;197;17;
SC;421605;SÃO CRISTOVÃO DO SUL;432;176;48;6;
SC;421580;SÃO BENTO DO SUL;13.015;5.563;1.117;350;
SC;421660;SÃO JOSÉ;21.670;10.712;2.394;1.197;
SC;420550;FRAIBURGO;9.057;4.739;2.709;964;
SC;421770;SOMBRIO;2.073;924;325;161;
SC;421280;BALNEÁRIO PIÇARRAS;3.633;1.109;199;175;
SC;421755;SERRA ALTA;589;237;84;40;
SC;421380;PRAIA GRANDE;678;319;32;23;
SC;420325;CAPÃO ALTO;111;32;2;36;
SC;420560;GALVÃO;216;85;182;23;
