MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: JAN/2020, FEV/2020, MAR/2020, ABR/2020, MAI/2020, JUN/2020, JUL/2020, AGO/2020, SET/2020, OUT/2020, NOV/2020, DEZ/2020."
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Hipertensão arterial, Diabetes, Obesidade, Tabagismo."


Uf;Ibge;Municipio;Hipertensão arterial;Diabetes;Obesidade;Tabagismo;
SC;421720;SÃO MIGUEL DO OESTE;3.815;1.271;884;159;
SC;421260;PERITIBA;475;219;336;22;
SC;420800;ITÁ;688;299;115;22;
SC;420270;BOTUVERÁ;570;307;102;5;
SC;420543;FORMOSA DO SUL;1.082;401;160;66;
SC;421820;TIMBÓ;3.378;1.336;558;254;
SC;420127;ARABUTÃ;322;85;95;9;
SC;421590;SÃO BONIFÁCIO;284;105;52;1;
SC;420945;LAJEADO GRANDE;2.190;492;175;23;
SC;420675;IBIAM;153;86;4;3;
SC;420210;BARRA VELHA;4.001;1.941;257;111;
SC;421950;XANXERÊ;3.807;1.669;534;168;
SC;420125;APIÚNA;1.659;770;294;53;
SC;421917;VARGEM BONITA;242;92;113;6;
SC;421090;MODELO;2.006;1.107;352;24;
SC;421505;RIO RUFINO;72;53;2;3;
SC;421600;SÃO CARLOS;1.014;164;11;23;
SC;421540;SALTO VELOSO;154;82;24;0;
SC;420580;GARUVA;792;522;158;47;
SC;420100;ANITA GARIBALDI;71;48;2;3;
SC;421420;QUILOMBO;4.819;1.325;504;276;
SC;421185;OURO VERDE;412;94;30;12;
SC;420310;CAIBI;1.404;688;241;107;
SC;421220;PAPANDUVA;1.655;526;201;39;
SC;421520;ROMELÂNDIA;313;185;116;67;
SC;420740;IMBUIA;109;83;14;20;
SC;420350;CAMPO ERÊ;950;804;188;77;
SC;420005;ABDON BATISTA;610;149;14;25;
SC;420519;ERMO;47;35;9;6;
SC;421000;LUIZ ALVES;1.378;556;454;82;
SC;420340;CAMPO BELO DO SUL;452;194;24;19;
SC;420419;CHAPADÃO DO LAGEADO;134;34;4;5;
SC;420765;IPORÃ DO OESTE;1.395;432;355;10;
SC;421180;OURO;285;115;81;15;
SC;421300;PINHEIRO PRETO;160;45;31;14;
SC;421835;TREVISO;675;574;124;62;
SC;421568;SANTA TEREZINHA DO PROGRESSO;633;186;125;25;
SC;420940;LAGUNA;1.463;1.008;382;128;
SC;420510;DONA EMMA;299;124;191;41;
SC;420020;AGROLÂNDIA;3.853;1.037;837;372;
SC;420500;DIONÍSIO CERQUEIRA;1.359;521;199;131;
SC;420810;ITAIÓPOLIS;4.132;1.434;442;12;
SC;420315;CALMON;453;236;111;22;
SC;420300;CAÇADOR;5.261;2.315;840;243;
SC;421480;RIO DO SUL;1.137;759;169;134;
SC;420517;ENTRE RIOS;92;84;12;11;
SC;421620;SÃO FRANCISCO DO SUL;2.346;1.497;88;22;
SC;421535;SALTINHO;499;230;522;67;
SC;421670;SÃO JOSÉ DO CEDRO;1.060;351;249;8;
SC;421875;TUNÁPOLIS;1.268;521;161;33;
SC;420895;JARDINÓPOLIS;198;127;10;34;
SC;421605;SÃO CRISTOVÃO DO SUL;415;200;10;0;
SC;420660;GUARUJÁ DO SUL;311;51;157;10;
SC;421410;PRESIDENTE NEREU;562;170;77;12;
SC;421940;WITMARSUM;119;90;35;8;
SC;420260;BOM RETIRO;427;191;62;16;
